Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
Twins,12/01/2020,10,13:00,26,12,3,None,3,GlobalReef,73.7,39.0,61.3,4.7,19.0,0.0,13.7,24.3,6.3,0.0,40.7,0.7,0.0,0.3,5.0,0.0,0.0,0.3,9.7,66.3,7.0,0.0,372.0
Red Rock,01/01/2021,10,12:00,30,12,2,None,1,GlobalReef,42.3,39.0,80.0,3.0,11.3,0.0,11.7,16.3,9.3,0.7,28.3,1.7,0.0,0.0,3.3,0.7,0.3,2.7,5.0,66.3,2.7,0.7,325.3
White Rock,01/01/2021,10,12:00,30,12,2,None,1,GlobalReef,44.7,30.7,74.7,2.0,12.7,0.0,8.7,28.7,1.7,0.0,108.7,2.7,0.0,0.0,139.3,0.7,0.0,4.3,5.3,71.3,6.3,0.0,542.3
Twins,01/01/2021,10,10:00,27,12,2,None,1,GlobalReef,77.5,56.0,60.0,4.0,15.0,0.0,4.5,14.0,5.0,0.0,14.5,0.0,0.0,0.0,2.0,0.0,0.0,3.5,6.0,53.5,5.5,0.0,321.0
Green Rock,01/01/2021,10,10:00,30,18,3,None,1,GlobalReef,132.3,53.0,130.7,3.0,19.3,0.0,10.7,11.0,4.0,2.0,12.3,1.3,0.0,0.0,107.0,1.3,0.0,1.3,6.0,49.0,6.7,26.7,577.7
White Rock,03/01/2021,10,14:00,30,7,2,None,2,GlobalReef,62.3,38.3,59.0,3.3,21.3,0.0,9.0,33.3,2.3,0.0,84.0,3.0,1.0,0.0,53.3,1.3,0.0,4.3,6.7,45.7,3.3,1.0,432.7
Green Rock,10/01/2021,10,10:00,28,18,2,None,1,GlobalReef,86.5,59.5,54.0,3.5,15.0,0.0,10.0,16.0,9.0,1.0,1.0,3.5,0.0,0.0,139.0,0.5,0.0,2.0,10.0,40.0,5.5,22.5,478.5
White Rock,01/01/2022,10,9:00,27,18,5,None,1,GlobalReef,62.5,45.0,101.5,4.5,17.5,0.0,6.5,25.5,0.5,0.5,189.0,0.0,0.0,0.0,178.0,2.5,0.0,2.5,4.0,102.0,10.5,0.0,752.5
White Rock,10/01/2022,10,13:00,26,18,2,None,1,GlobalReef,40.5,44.0,74.0,4.0,30.0,0.0,7.5,25.0,1.5,0.0,84.5,1.0,0.0,0.0,121.5,6.0,0.0,28.0,6.0,104.0,13.5,0.0,591.0
Twins,10/01/2022,10,14:00,25,12,2,None,4,GlobalReef,41.0,19.5,54.5,0.0,15.5,3.0,8.5,18.5,11.5,1.0,15.0,2.5,0.5,0.0,1.0,0.0,0.0,13.0,3.5,58.5,5.5,0.0,272.5
Red Rock,10/01/2022,10,12:00,27,12,2,None,1,GlobalReef,42.0,50.0,78.0,1.5,10.5,0.0,5.5,13.0,7.5,1.0,15.5,2.0,0.0,0.0,3.5,1.5,0.0,1.5,3.0,55.0,0.5,0.0,291.5
Green Rock,10/01/2022,10,10:00,28,7,2,None,1,GlobalReef,75.0,66.5,68.5,2.0,12.5,0.0,6.0,6.5,3.0,0.0,13.0,0.5,0.0,0.0,23.0,1.0,0.0,2.0,2.5,41.0,1.0,45.0,369.0
Red Rock,11/01/2022,10,11:00,28,7,1,None,1,GlobalReef,20.5,26.0,89.0,2.0,18.0,0.0,2.0,15.5,5.5,1.0,10.5,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,55.5,1.0,0.0,250.5
White Rock,11/01/2022,8,14:00,29,7,5,None,2,GlobalReef,42.0,37.5,90.0,3.5,22.5,0.0,5.5,22.0,2.0,0.5,168.0,1.0,0.0,0.0,108.5,2.0,0.0,11.0,27.5,103.5,12.5,400.0,1059.5
Twins,11/01/2022,NA,NA,NA,NA,NA,NA,NA,GlobalReef,44.5,24.5,63.0,3.0,15.0,0.0,10.0,14.5,8.5,0.0,24.0,0.5,0.0,0.0,1.5,0.5,0.5,5.0,7.0,84.0,8.0,0.0,314.0
White Rock,04/01/2023,8,16:00,25,12,1,None,4,GlobalReef,36.8,21.0,55.3,4.0,13.8,0.0,8.0,17.3,2.3,0.0,11.8,0.5,0.5,0.0,96.3,1.0,0.0,5.3,6.5,56.5,8.3,700.0,1044.8
Twins,04/01/2023,10,8:00,25,12,1,None,3,GlobalReef,76.7,19.3,53.3,2.7,6.7,0.0,2.0,16.7,13.0,0.0,3.7,3.3,0.7,0.0,5.3,0.0,0.0,7.3,16.0,58.7,6.3,0.0,291.7
Green Rock,04/01/2023,10,9:00,26,12,1,None,2,GlobalReef,83.0,83.0,42.0,2.0,15.0,1.0,10.0,20.0,5.5,0.5,6.0,8.5,0.0,0.0,96.0,0.5,0.0,3.0,10.5,47.5,6.0,0.5,440.5
Twins,05/01/2023,10,14:00,25,18,1,None,6,GlobalReef,49.5,69.5,39.0,0.5,5.5,0.0,9.5,19.0,15.5,0.0,13.5,2.5,0.0,0.0,8.5,0.0,0.0,3.5,10.0,53.0,5.0,0.0,304.0
White Rock,05/01/2023,NA,NA,NA,NA,NA,NA,NA,GlobalReef,54.5,63.0,58.0,3.5,23.0,0.0,4.0,36.0,2.0,1.0,17.0,3.5,0.0,0.0,40.0,1.5,0.0,1.0,11.0,87.0,5.0,0.0,411.0
Red Rock,05/01/2023,NA,NA,NA,NA,NA,NA,NA,GlobalReef,66.5,29.5,64.5,2.5,8.5,0.0,15.5,13.5,9.5,0.0,8.5,4.0,0.0,0.0,127.0,0.5,0.0,0.0,14.0,65.0,2.5,0.0,431.5
White Rock,06/01/2023,15,15:30,25,18,1,None,5,GlobalReef,37.5,25.0,54.5,2.5,19.0,0.0,4.5,27.5,1.5,0.0,8.5,1.5,0.0,0.0,121.5,1.0,0.0,2.0,5.0,74.0,10.5,0.0,396.0
Twins,06/01/2023,11,13:00,25,12,1,None,5,GlobalReef,40.0,18.0,44.0,0.0,3.0,0.0,7.5,26.0,11.0,1.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,2.5,10.0,22.0,6.5,0.0,195.0
